04400-0024,537006,ORIT-TRADE,NULL,NEW SLIGHT CURVE CLASSIC STRAIGHT,4,6180,yapas,1,8886,NONE,NULL,16,2/1/2011 0:00,0.171872,0,11.77,0.1582,yapas,SMTP:madushan@oritsl.com,Approved By EMail,2/25/2011 0:00,NULL,NULL,NULL,5,0,3,1,2,correct fabric yy,NULL,NULL,0,USD,0,65,0,2/25/2011 0:00,madushan@oritsl.com;prageeth@oritsl.com,ORIT-TRADE,0,0,0,0,19,23,,0,0,0,0,0,1,0.99,0,,0.1507,0.0075,1.76,0.11,SMTP:Prageeth@oritsl.com,2/25/2011 0:00,NULL,NULL,NULL,NULL
04402-0015,537009,ORIT-TRADE,NULL,NEW SLIGHT CURVE CLASSIC BOOTCUT,4,2820,kaushy,1,8887,NONE,NULL,16,1/2/2011 0:00,0.18209,0,11.76,0.153,yapas,SMTP:Prageeth@oritsl.com,Approved By EMail,2/28/2011 0:00,NULL,NULL,NULL,5,0,3,1,2,fabric yy correction,NULL,NULL,0,USD,0,60,0,2/28/2011 0:00,madushan@oritsl.com;prageeth@oritsl.com,ORIT-TRADE,0,0,0,0,19,23,,0,0,0,0,0,0,1.1534,0,,0.1456,0.0075,1.760052,0.11,SMTP:madushan@oritsl.com,2/28/2011 0:00,NULL,NULL,NULL,NULL
04700-0031,537040,ORIT-TRADE,NULL,NEW DEMI CURVE CLASSIC STRAIGHT,4,10320,yapas,1,8888,NONE,NULL,16,2/1/2011 0:00,0.186308,0,11.77,0.149,yapas,SMTP:Prageeth@oritsl.com,Approved By EMail,2/24/2011 0:00,NULL,NULL,NULL,5,0,3,1,3,ADD FUSING,NULL,NULL,0,USD,0,65,0,2/24/2011 0:00,madushan@oritsl.com;prageeth@oritsl.com,ORIT-TRADE,0,0,0,0,19,23,,0,0,0,0,0,0,1.2209,0,,0.1415,0.0075,1.76,0.11,SMTP:madushan@oritsl.com,2/24/2011 0:00,NULL,NULL,NULL,NULL
04702-0015,537041,ORIT-TRADE,NULL,New Demi curve classic bootcut,4,8100,yapas,1,8889,NONE,NULL,16,2/1/2011 0:00,0.186814,0,11.99,0.1547,yapas,SMTP:madushan@oritsl.com,Approved By EMail,2/21/2011 0:00,NULL,NULL,NULL,5,0,3,1,2,add q-loop prx,NULL,NULL,0,USD,0,65,0,2/21/2011 0:00,madushan@oritsl.com;prageeth@oritsl.com,ORIT-TRADE,0,0,0,0,19,23,,0,0,0,0,0,0,1.229,0,,0.1467,0.008,1.76,0.11,SMTP:Prageeth@oritsl.com,2/21/2011 0:00,NULL,NULL,NULL,NULL
00559-0733,4100116537,ORIT-TRADE,,559 RELAXED STRAIGHT,4,24500,dinesh,1,8877,NONE,,17.88,1/29/2011,0.122723,0,8.9,0.136,dinesh,SMTP:asiri@oritsl.com,Approved By EMail,2/11/2011,,,,5,0,3,1,3,To Add Thread Consumption,,,0,USD,0,60,0,2/10/2011,asiri@oritsl.com;prageeth@oritsl.com,OTLSW,0,0,0,0,48,18,,0,0,0,0,0,0,0.6745,0,,0.126,0.01,1.5197756,0.085,SMTP:priyantham@oritsl.com,2/7/2011,,,,
04160-0008,4100116269,ORIT-TRADE,,MISSERS,4,16500,yapas,1,8736,NONE,,16.65,1/13/2011,0.131102,0,11.59,0.1844,yapas,SMTP:Prageeth@oritsl.com,Approved By EMail,2/28/2011,,,,5,0,3,1,4,TO RE-ORDER UVM (COST OF WRONG RCVD UVM WILL BE LIABILITY BY LEVIS),,,0,USD,0,65,0,2/28/2011,asiri@oritsl.com;prageeth@oritsl.com,ORIT-TRADE,0,0,0,0,19,23,,0,0,0,0,0,0,0.3514,0,,0.1628,0.0216,1.8315,0.11,SMTP:asiri@oritsl.com,2/28/2011,,,,
05706-0132,98967,ORIT-TRADE,,DC SKINNY BOOT INDIGO CONTRAST,4,1469,srinath,1,8851,NONE,,16.9,1/27/2011,0.166644,0,12.35,0.0275,srinath,SMTP:Prageeth@oritsl.com,Approved By EMail,2/21/2011,,,,5,0,3,1,2,to rev fab code,,,0,USD,0,60,0,2/21/2011,asiri@oritsl.com;prageeth@oritsl.com,OTLSW,0,0,0,0,46,23,,0,0,0,0,0,0,1.3798,0,,0.0109,0.0166,1.4364816,0.085,SMTP:asiri@oritsl.com,2/21/2011,,,,
05411-0008,4100117379,ORIT-TRADE,,MOD DEMI SKINNY,4,3002,dinesh,1,8801,NONE,,19.41,1/22/2011,0.13928,0,12.43,0.2169,dinesh,SMTP:asiri@oritsl.com,Approved By EMail,2/16/2011,,,,5,0,3,1,5,To Add Thread Consumption,,,0,USD,0,60,0,2/15/2011,asiri@oritsl.com;prageeth@oritsl.com,OTLSW,0,0,0,0,19,23,,0,0,0,0,0,0,1.0536,0,,0.2006,0.0162,1.6498248,0.085,SMTP:Prageeth@oritsl.com,1/28/2011,,,,
B21000R-KGW,4500217724,ORIT-TRADE,,AMANDA JEAN,3,1716,nishanthi,1,8816,NONE,,13.25,1/24/2011,0.165075,0,8.79,0.1156,nishanthi,SMTP:Prageeth@oritsl.com,Approved By EMail,1/26/2011,,,,5,0,2,1,1,,,,0,USD,0,80,0,1/26/2011,nimantha@oritsl.com;prageeth@oritsl.com,OTLSW,0,0,0,1,16,23,,0,0,0,0,0,0,1.0609,0,,0.0988,0.0168,1.1263425,0.085,SMTP:nimantha@oritsl.com,1/26/2011,,,,
D2RE03A,4500215970,ORIT-TRADE,,FLAWLESS BOOTCUT,3,1212,kelum,1,8767,NONE,,14.25,1/17/2011,0.158553,0,7.81,0.1079,kelum,SMTP:Prageeth@oritsl.com,Approved By EMail,1/25/2011,,,,6,0,2,1,2,Change consumption of Q-loop,,,0,USD,0,70,0,1/25/2011,nimantha@oritsl.com;prageeth@oritsl.com,ORIT-TRADE,0,0,0,1,8,,,0,0,0,0,0,0,0.2193,0,,0.0842,0.0237,2.04004925,0.1432,SMTP:nimantha@oritsl.com,1/25/2011,,,,
